1,0.39,0.04,0.04,23
2,0.18,0.11,0.11,28
3,0.11,0.16,0.21,19
4,0.19,0.19,0.19,16
5,0.19,0.05,0.02,447
6,0.04,0.04,0.07,27
7,0.01,0.01,0.01,137
8,0.3,0.02,0.02,43
9,0.77,0.31,0.1,1303
10,0.18,0.08,0.07,5866
11,0.76,0.04,0.03,272
12,0.3,0.21,0.14,4890
13,0.06,0.03,0.03,31
14,0.02,0.11,0.09,1717
15,0.21,0.06,0.03,34
16,0.08,0.04,0.04,75
17,0.12,0.02,0.02,179
18,0.41,0.03,0.03,115
19,0.29,0.03,0.03,345
20,0.04,0.01,0.01,68
21,0.32,0.15,0.04,416
22,0.18,0.13,0.13,40
23,0.05,0.02,0.02,42
24,0.27,0.02,0.02,255
25,0.14,0.02,0.02,83
26,0.18,0.02,0.01,143
27,0.2,0.01,0.01,180
28,0.15,0.15,0.1,1325
29,0.16,0.02,0.02,83
30,0.06,0.11,0.11,107
31,0.05,0.05,0.05,21
32,0.03,0.03,0.03,38
33,0.12,0.04,0.04,25
34,0.29,0.22,0.09,434
35,0.05,0.05,0.05,20
36,0.04,0.02,0.02,173
37,0.12,0.02,0.02,43
38,0.12,0.07,0.07,43
39,0.32,0.03,0.03,31
40,0.08,0.16,0.03,474
41,0.09,0.85,0.05,228
42,0.15,0.15,0.15,20
43,0.06,0.08,0.08,62
44,0.43,0.07,0.03,731
45,0.02,0.02,0.02,49
46,0.04,0.04,0.04,25
47,0.2,0.05,0.03,3652
48,0.03,0.02,0.02,392
49,0.01,0.05,0.05,133
50,0.2,0.07,0.07,15
51,0.56,0.02,0.01,1358
52,0.11,0.06,0.06,18
53,0.06,0.24,0.24,33
54,0.01,0,0,584
55,0.02,0.02,0.02,160
56,0.16,0.48,0.26,5891
57,0.16,0.06,0.06,64
58,0.1,0.05,0.05,20
59,0.22,0.04,0.04,27
60,0.13,0.02,0.02,158
61,0.06,0.06,0.06,108
62,0.01,0.06,0.05,137
63,0.06,0.04,0.04,53
64,0.03,0.03,0.03,39
65,0.05,0.05,0.05,21
66,0.17,0.11,0.11,47
67,0.03,0.06,0.06,80
68,0.02,0.19,0.11,1490
69,0.65,0.01,0.01,89
70,0.06,0.03,0.03,33
71,0.27,0.13,0.13,15
72,0.05,0.02,0.02,41
73,0.02,0.01,0.01,165
74,0.02,0.02,0.02,89
75,0.11,0.06,0.06,18
